"","x"
"1516","48"
"1517","65"
"1518","81"
"1519","40"
"1520","54"
"1521","100"
"1522","38"
"1523","52"
"1524","54"
"1525","54"
"1526","71"
"1527","83"
"1528","23"
"1529","52"
"1530","71"
"1531","56"
"1532","83"
"1533","81"
"1534","85"
"1535","100"
"1536","48"
"1537","69"
"1538","58"
"1539","48"
"1540","48"
"1541","15"
"1542","96"
"1543","71"
"1544","60"
"1545","48"
"1546","58"
"1547","69"
"1548","71"
"1549","50"
"1550","48"
"1551","83"
"1552","85"
"1553","0"
"1554","96"
"1555","23"
"1556","69"
"1557","56"
"1558","56"
"1559","38"
"1560","0"
"1561","23"
"1562","23"
"1563","56"
"1564","96"
"1565","96"
"1566","94"
"1567","52"
"1568","77"
"1569","96"
"1570","23"
"1571","52"
"1572","96"
"1573","94"
"1574","52"
"1575",NA
